@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -2.83405e-21 , y: -2.33549e-19 , theta: -1.06917e-19
--- 第1个点: x: -3.75814e-06 , y: -0.000292668 , theta: -9.63059e-05
--- 第2个点: x: -1.50325e-05 , y: -0.00117067 , theta: -0.000385223
--- 第3个点: x: -3.26504e-05 , y: -0.00254267 , theta: -0.000836697
--- 第4个点: x: -5.10171e-05 , y: -0.003973 , theta: -0.00130736
--- 第5个点: x: -6.93839e-05 , y: -0.00540333 , theta: -0.00177803
--- 第6个点: x: -8.77505e-05 , y: -0.00683366 , theta: -0.00224869
--- 第7个点: x: -0.000106117 , y: -0.008264 , theta: -0.00271936
--- 第8个点: x: -0.000124484 , y: -0.00969433 , theta: -0.00319003
--- 第9个点: x: -0.000142851 , y: -0.0111247 , theta: -0.00366069
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -3.75814e-06 , y: -0.000292668 , theta: -9.63059e-05
--- 第1个点: x: -1.50325e-05 , y: -0.00117067 , theta: -0.000385223
--- 第2个点: x: -3.26504e-05 , y: -0.00254267 , theta: -0.000836697
--- 第3个点: x: -5.10171e-05 , y: -0.003973 , theta: -0.00130736
--- 第4个点: x: -6.93839e-05 , y: -0.00540333 , theta: -0.00177803
--- 第5个点: x: -8.77505e-05 , y: -0.00683366 , theta: -0.00224869
--- 第6个点: x: -0.000106117 , y: -0.008264 , theta: -0.00271936
--- 第7个点: x: -0.000124484 , y: -0.00969433 , theta: -0.00319003
--- 第8个点: x: -0.000142851 , y: -0.0111247 , theta: -0.00366069
--- 第9个点: x: -0.000161218 , y: -0.012555 , theta: -0.00413136
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -1.50325e-05 , y: -0.00117067 , theta: -0.000385223
--- 第1个点: x: -3.26504e-05 , y: -0.00254267 , theta: -0.000836697
--- 第2个点: x: -5.10171e-05 , y: -0.003973 , theta: -0.00130736
--- 第3个点: x: -6.93839e-05 , y: -0.00540333 , theta: -0.00177803
--- 第4个点: x: -8.77505e-05 , y: -0.00683366 , theta: -0.00224869
--- 第5个点: x: -0.000106117 , y: -0.008264 , theta: -0.00271936
--- 第6个点: x: -0.000124484 , y: -0.00969433 , theta: -0.00319003
--- 第7个点: x: -0.000142851 , y: -0.0111247 , theta: -0.00366069
--- 第8个点: x: -0.000161218 , y: -0.012555 , theta: -0.00413136
--- 第9个点: x: -0.000179585 , y: -0.0139853 , theta: -0.00460202
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -3.26504e-05 , y: -0.00254267 , theta: -0.000836697
--- 第1个点: x: -5.10171e-05 , y: -0.003973 , theta: -0.00130736
--- 第2个点: x: -6.93839e-05 , y: -0.00540333 , theta: -0.00177803
