@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: 0.0351459 , y: -0.178061 , theta: -0.0501794
--- 第1个点: x: 0.0342374 , y: -0.177661 , theta: -0.0497743
--- 第2个点: x: 0.031512 , y: -0.176461 , theta: -0.0485592
--- 第3个点: x: 0.0269697 , y: -0.174461 , theta: -0.0465339
--- 第4个点: x: 0.0210529 , y: -0.171856 , theta: -0.0438959
--- 第5个点: x: 0.0150529 , y: -0.169236 , theta: -0.0412274
--- 第6个点: x: 0.00905286 , y: -0.166673 , theta: -0.0385761
--- 第7个点: x: 0.00305286 , y: -0.164166 , theta: -0.0359419
--- 第8个点: x: -0.00294714 , y: -0.161715 , theta: -0.0333248
--- 第9个点: x: -0.00894714 , y: -0.15932 , theta: -0.0307245
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: 0.0342374 , y: -0.177661 , theta: -0.0497743
--- 第1个点: x: 0.031512 , y: -0.176461 , theta: -0.0485592
--- 第2个点: x: 0.0269697 , y: -0.174461 , theta: -0.0465339
--- 第3个点: x: 0.0210529 , y: -0.171856 , theta: -0.0438959
--- 第4个点: x: 0.0150529 , y: -0.169236 , theta: -0.0412274
--- 第5个点: x: 0.00905286 , y: -0.166673 , theta: -0.0385761
--- 第6个点: x: 0.00305286 , y: -0.164166 , theta: -0.0359419
--- 第7个点: x: -0.00294714 , y: -0.161715 , theta: -0.0333248
--- 第8个点: x: -0.00894714 , y: -0.15932 , theta: -0.0307245
--- 第9个点: x: -0.0149471 , y: -0.15698 , theta: -0.0281404
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: 0.031512 , y: -0.176461 , theta: -0.0485592
--- 第1个点: x: 0.0269697 , y: -0.174461 , theta: -0.0465339
--- 第2个点: x: 0.0210529 , y: -0.171856 , theta: -0.0438959
--- 第3个点: x: 0.0150529 , y: -0.169236 , theta: -0.0412274
--- 第4个点: x: 0.00905286 , y: -0.166673 , theta: -0.0385761
--- 第5个点: x: 0.00305286 , y: -0.164166 , theta: -0.0359419
--- 第6个点: x: -0.00294714 , y: -0.161715 , theta: -0.0333248
--- 第7个点: x: -0.00894714 , y: -0.15932 , theta: -0.0307245
--- 第8个点: x: -0.0149471 , y: -0.15698 , theta: -0.0281404
--- 第9个点: x: -0.0209471 , y: -0.154694 , theta: -0.0255718
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: 0.0269697 , y: -0.174461 , theta: -0.0465339
--- 第1个点: x: 0.0210529 , y: -0.171856 , theta: -0.0438959
--- 第2个点: x: 0.0150529 , y: -0.169236 , theta: -0.0412274
--- 第3个点: x: 0.00905286 , y: -0.166673 , theta: -0.0385761
--- 第4个点: x: 0.00305286 , y: -0.164166 , theta: -0.0359419
--- 第5个点: x: -0.00294714 , y: -0.161715 , theta: -0.0333248
--- 第6个点: x: -0.00894714 , y: -0.15932 , theta: -0.0307245
--- 第7个点: x: -0.0149471 , y: -0.15698 , theta: -0.0281404
--- 第8个点: x: -0.0209471 , y: -0.154694 , theta: -0.0255718
--- 第9个点: x: -0.0269471 , y: -0.152462 , theta: -0.0230185
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: 0.0210529 , y: -0.171856 , theta: -0.0438959
--- 第1个点: x: 0.0150529 , y: -0.169236 , theta: -0.0412274
--- 第2个点: x: 0.00905286 , y: -0.166673 , theta: -0.0385761
--- 第3个点: x: 0.00305286 , y: -0.164166 , theta: -0.0359419
--- 第4个点: x: -0.00294714 , y: -0.161715 , theta: -0.0333248
--- 第5个点: x: -0.00894714 , y: -0.15932 , theta: -0.0307245
--- 第6个点: x: -0.0149471 , y: -0.15698 , theta: -0.0281404
--- 第7个点: x: -0.0209471 , y: -0.154694 , theta: -0.0255718
--- 第8个点: x: -0.0269471 , y: -0.152462 , theta: -0.0230185
--- 第9个点: x: -0.0329471 , y: -0.150284 , theta: -0.0204804
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: 0.0150529 , y: -0.169236 , theta: -0.0412274
--- 第1个点: x: 0.00905286 , y: -0.166673 , theta: -0.0385761
--- 第2个点: x: 0.00305286 , y: -0.164166 , theta: -0.0359419
--- 第3个点: x: -0.00294714 , y: -0.161715 , theta: -0.0333248
--- 第4个点: x: -0.00894714 , y: -0.15932 , theta: -0.0307245
--- 第5个点: x: -0.0149471 , y: -0.15698 , theta: -0.0281404
--- 第6个点: x: -0.0209471 , y: -0.154694 , theta: -0.0255718
--- 第7个点: x: -0.0269471 , y: -0.152462 , theta: -0.0230185
--- 第8个点: x: -0.0329471 , y: -0.150284 , theta: -0.0204804
--- 第9个点: x: -0.0389471 , y: -0.148158 , theta: -0.0179575
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: 0.00905286 , y: -0.166673 , theta: -0.0385761
--- 第1个点: x: 0.00305286 , y: -0.164166 , theta: -0.0359419
--- 第2个点: x: -0.00294714 , y: -0.161715 , theta: -0.0333248
--- 第3个点: x: -0.00894714 , y: -0.15932 , theta: -0.0307245
--- 第4个点: x: -0.0149471 , y: -0.15698 , theta: -0.0281404
--- 第5个点: x: -0.0209471 , y: -0.154694 , theta: -0.0255718
--- 第6个点: x: -0.0269471 , y: -0.152462 , theta: -0.0230185
--- 第7个点: x: -0.0329471 , y: -0.150284 , theta: -0.0204804
--- 第8个点: x: -0.0389471 , y: -0.148158 , theta: -0.0179575
--- 第9个点: x: -0.0449471 , y: -0.146086 , theta: -0.0154491
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: 0.00305286 , y: -0.164166 , theta: -0.0359419
--- 第1个点: x: -0.00294714 , y: -0.161715 , theta: -0.0333248
--- 第2个点: x: -0.00894714 , y: -0.15932 , theta: -0.0307245
--- 第3个点: x: -0.0149471 , y: -0.15698 , theta: -0.0281404
--- 第4个点: x: -0.0209471 , y: -0.154694 , theta: -0.0255718
--- 第5个点: x: -0.0269471 , y: -0.152462 , theta: -0.0230185
--- 第6个点: x: -0.0329471 , y: -0.150284 , theta: -0.0204804
--- 第7个点: x: -0.0389471 , y: -0.148158 , theta: -0.0179575
--- 第8个点: x: -0.0449471 , y: -0.146086 , theta: -0.0154491
--- 第9个点: x: -0.0509471 , y: -0.144065 , theta: -0.0129547
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.00294714 , y: -0.161715 , theta: -0.0333248
--- 第1个点: x: -0.00894714 , y: -0.15932 , theta: -0.0307245
--- 第2个点: x: -0.0149471 , y: -0.15698 , theta: -0.0281404
--- 第3个点: x: -0.0209471 , y: -0.154694 , theta: -0.0255718
--- 第4个点: x: -0.0269471 , y: -0.152462 , theta: -0.0230185
--- 第5个点: x: -0.0329471 , y: -0.150284 , theta: -0.0204804
--- 第6个点: x: -0.0389471 , y: -0.148158 , theta: -0.0179575
--- 第7个点: x: -0.0449471 , y: -0.146086 , theta: -0.0154491
--- 第8个点: x: -0.0509471 , y: -0.144065 , theta: -0.0129547
--- 第9个点: x: -0.0569471 , y: -0.142096 , theta: -0.0104741
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.00894714 , y: -0.15932 , theta: -0.0307245
--- 第1个点: x: -0.0149471 , y: -0.15698 , theta: -0.0281404
--- 第2个点: x: -0.0209471 , y: -0.154694 , theta: -0.0255718
--- 第3个点: x: -0.0269471 , y: -0.152462 , theta: -0.0230185
--- 第4个点: x: -0.0329471 , y: -0.150284 , theta: -0.0204804
--- 第5个点: x: -0.0389471 , y: -0.148158 , theta: -0.0179575
--- 第6个点: x: -0.0449471 , y: -0.146086 , theta: -0.0154491
--- 第7个点: x: -0.0509471 , y: -0.144065 , theta: -0.0129547
--- 第8个点: x: -0.0569471 , y: -0.142096 , theta: -0.0104741
--- 第9个点: x: -0.0629471 , y: -0.140179 , theta: -0.00800728
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.0149471 , y: -0.15698 , theta: -0.0281404
--- 第1个点: x: -0.0209471 , y: -0.154694 , theta: -0.0255718
--- 第2个点: x: -0.0269471 , y: -0.152462 , theta: -0.0230185
--- 第3个点: x: -0.0329471 , y: -0.150284 , theta: -0.0204804
--- 第4个点: x: -0.0389471 , y: -0.148158 , theta: -0.0179575
--- 第5个点: x: -0.0449471 , y: -0.146086 , theta: -0.0154491
--- 第6个点: x: -0.0509471 , y: -0.144065 , theta: -0.0129547
--- 第7个点: x: -0.0569471 , y: -0.142096 , theta: -0.0104741
--- 第8个点: x: -0.0629471 , y: -0.140179 , theta: -0.00800728
--- 第9个点: x: -0.0689471 , y: -0.138313 , theta: -0.00555403
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.0209471 , y: -0.154694 , theta: -0.0255718
--- 第1个点: x: -0.0269471 , y: -0.152462 , theta: -0.0230185
--- 第2个点: x: -0.0329471 , y: -0.150284 , theta: -0.0204804
--- 第3个点: x: -0.0389471 , y: -0.148158 , theta: -0.0179575
