base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
3.5,2,-1.32937e-16,1.57,-0.8678,-2.2043,-0.0347,1.6315,1.10925e-19
3.48717,1.99693,-0.00952656,1.56047,-0.832148,-2.14153,-0.0314607,1.6165,0.0017355
3.47434,1.99386,-0.0190531,1.55095,-0.796496,-2.07876,-0.0282215,1.60149,0.00347101
3.46151,1.99079,-0.0285797,1.54142,-0.760844,-2.01599,-0.0249822,1.58649,0.00520651
3.44868,1.98772,-0.0381062,1.53189,-0.725192,-1.95322,-0.021743,1.57149,0.00694202
3.43585,1.98465,-0.0476328,1.52237,-0.68954,-1.89045,-0.0185037,1.55649,0.00867752
3.42302,1.98158,-0.0571593,1.51284,-0.653888,-1.82768,-0.0152645,1.54148,0.010413
3.41018,1.97851,-0.0666859,1.50331,-0.618237,-1.76491,-0.0120252,1.52648,0.0121485
3.39735,1.97544,-0.0762125,1.49379,-0.582585,-1.70214,-0.00878596,1.51148,0.013884
3.38452,1.97237,-0.085739,1.48426,-0.546933,-1.63937,-0.00554671,1.49648,0.0156195
3.37169,1.9693,-0.0952656,1.47473,-0.511281,-1.5766,-0.00230745,1.48147,0.017355
3.35886,1.96623,-0.104792,1.46521,-0.475629,-1.51383,0.000931801,1.46647,0.0190905
3.34603,1.96316,-0.114319,1.45568,-0.439977,-1.45106,0.00417106,1.45147,0.0208261
3.3332,1.96009,-0.123845,1.44615,-0.404325,-1.38829,0.00741031,1.43646,0.0225616
3.32037,1.95702,-0.133372,1.43663,-0.368673,-1.32552,0.0106496,1.42146,0.0242971
3.30754,1.95395,-0.142898,1.4271,-0.333021,-1.26275,0.0138888,1.40646,0.0260326
3.29471,1.95088,-0.152425,1.41757,-0.297369,-1.19998,0.0171281,1.39146,0.0277681
3.28188,1.94781,-0.161951,1.40805,-0.261717,-1.13721,0.0203673,1.37645,0.0295036
3.26905,1.94474,-0.171478,1.39852,-0.226065,-1.07444,0.0236066,1.36145,0.0312391
3.25622,1.94168,-0.181005,1.38899,-0.190413,-1.01167,0.0268458,1.34645,0.0329746
3.24338,1.93861,-0.190531,1.37947,-0.154762,-0.948901,0.0300851,1.33145,0.0347101
3.23055,1.93554,-0.200058,1.36994,-0.11911,-0.886131,0.0333243,1.31644,0.0364456
3.21772,1.93247,-0.209584,1.36041,-0.0834577,-0.823361,0.0365636,1.30144,0.0381811
3.20489,1.9294,-0.219111,1.35089,-0.0478057,-0.760591,0.0398029,1.28644,0.0399166
3.19206,1.92633,-0.228637,1.34136,-0.0121538,-0.697821,0.0430421,1.27144,0.0416521
3.17923,1.92326,-0.238164,1.33183,0.0234981,-0.635051,0.0462814,1.25643,0.0433876
3.1664,1.92019,-0.24769,1.32231,0.05915,-0.572281,0.0495206,1.24143,0.0451231
3.15357,1.91712,-0.257217,1.31278,0.094802,-0.509512,0.0527599,1.22643,0.0468586
3.14074,1.91405,-0.266744,1.30325,0.130454,-0.446742,0.0559991,1.21142,0.0485941
3.12791,1.91098,-0.27627,1.29373,0.166106,-0.383972,0.0592384,1.19642,0.0503296
3.11508,1.90791,-0.285797,1.2842,0.201758,-0.321202,0.0624776,1.18142,0.0520651
