base_y_base_x,base_theta_base_y,base_link_base_theta,right_arm_shoulder_pan_joint,right_arm_shoulder_lift_joint,right_arm_elbow_joint,right_arm_wrist_1_joint,right_arm_wrist_2_joint,right_arm_wrist_3_joint
-1.2,2.4,-5.99132e-10,1.57,-0.8678,-2.2043,-0.0347,1.6315,-4.37875e-11
-1.16743,2.36377,0.0100228,1.57691,-0.847918,-2.17357,-0.0144907,1.62965,-0.04019
-1.13486,2.32754,0.0200449,1.58382,-0.828036,-2.14285,0.00571925,1.62781,-0.08038
-1.1023,2.29132,0.0300658,1.59074,-0.808156,-2.11212,0.0259304,1.62597,-0.12057
-1.06973,2.25509,0.0400848,1.59765,-0.788278,-2.0814,0.0461433,1.62412,-0.16076
-1.03716,2.21887,0.0501012,1.60456,-0.768402,-2.05067,0.0663586,1.62228,-0.200951
-1.00459,2.18264,0.0601145,1.61147,-0.74853,-2.01995,0.0865769,1.62044,-0.241142
-0.972015,2.14642,0.0701241,1.61838,-0.728663,-1.98923,0.106799,1.6186,-0.281333
-0.939442,2.1102,0.0801293,1.6253,-0.7088,-1.95851,0.127024,1.61676,-0.321524
-0.906867,2.07399,0.0901298,1.63221,-0.688942,-1.9278,0.147255,1.61492,-0.361716
-0.874291,2.03777,0.100125,1.63913,-0.66909,-1.89709,0.16749,1.61309,-0.401908
-0.841712,2.00156,0.110114,1.64604,-0.649245,-1.86637,0.187731,1.61125,-0.4421
-0.809132,1.96536,0.120097,1.65295,-0.629407,-1.83567,0.207978,1.60942,-0.482293
-0.77655,1.92915,0.130073,1.65987,-0.609576,-1.80496,0.228231,1.6076,-0.522487
-0.743965,1.89295,0.140043,1.66679,-0.589754,-1.77426,0.24849,1.60577,-0.562681
-0.711378,1.85675,0.150005,1.6737,-0.56994,-1.74356,0.268757,1.60395,-0.602876
-0.678789,1.82056,0.159959,1.68062,-0.550134,-1.71286,0.28903,1.60213,-0.643072
-0.646198,1.78437,0.169905,1.68754,-0.530338,-1.68217,0.309312,1.60032,-0.683268
-0.613604,1.74819,0.179844,1.69446,-0.510552,-1.65148,0.3296,1.59851,-0.723465
-0.581008,1.71201,0.189774,1.70138,-0.490775,-1.62079,0.349897,1.5967,-0.763663
-0.548409,1.67584,0.199695,1.70831,-0.471008,-1.59011,0.370201,1.5949,-0.803861
-0.515808,1.63967,0.209609,1.71523,-0.451251,-1.55943,0.390513,1.5931,-0.844061
-0.483205,1.60351,0.219514,1.72216,-0.431504,-1.52875,0.410833,1.5913,-0.884261
-0.450599,1.56735,0.229411,1.72908,-0.411768,-1.49808,0.43116,1.58951,-0.924462
-0.417991,1.53119,0.2393,1.73601,-0.392042,-1.46741,0.451496,1.58772,-0.964665
-0.385381,1.49504,0.249181,1.74294,-0.372327,-1.43673,0.471838,1.58594,-1.00487
-0.352768,1.4589,0.259054,1.74988,-0.352622,-1.40607,0.492188,1.58416,-1.04507
-0.320154,1.42276,0.268919,1.75681,-0.332927,-1.3754,0.512545,1.58238,-1.08528
-0.287538,1.38663,0.278778,1.76375,-0.313242,-1.34473,0.532909,1.58061,-1.12548
-0.254919,1.3505,0.288629,1.77069,-0.293567,-1.31407,0.553279,1.57885,-1.16569
-0.2223,1.31438,0.298474,1.77763,-0.273902,-1.2834,0.573655,1.57708,-1.2059
-0.189678,1.27826,0.308314,1.78458,-0.254247,-1.25274,0.594037,1.57533,-1.24611
-0.157055,1.24215,0.318147,1.79153,-0.2346,-1.22207,0.614424,1.57357,-1.28632
-0.124431,1.20604,0.327976,1.79848,-0.214963,-1.1914,0.634815,1.57183,-1.32653
-0.0918062,1.16994,0.337801,1.80543,-0.195334,-1.16074,0.655211,1.57008,-1.36674
-0.0591801,1.13384,0.347621,1.81239,-0.175713,-1.13006,0.67561,1.56834,-1.40696
-0.0265532,1.09775,0.357438,1.81935,-0.156101,-1.09939,0.696012,1.5666,-1.44717
0.00607419,1.06166,0.367253,1.82632,-0.136495,-1.06871,0.716417,1.56487,-1.48739
0.0387019,1.02557,0.377066,1.83328,-0.116896,-1.03803,0.736824,1.56315,-1.52761
0.0713293,0.989488,0.386877,1.84026,-0.0973025,-1.00735,0.757232,1.56142,-1.56783
0.103956,0.953408,0.396687,1.84723,-0.0777131,-0.976665,0.77764,1.5597,-1.60804
