base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint,xxxx_joint
3.11508,1.90791,-0.285797,1.2842,0.201758,-0.321202,0.0624776,1.18142,0.0520651,3.97903e-16
3.14935,1.90927,-0.296106,1.27389,0.201758,-0.320982,0.0647786,1.21383,0.0522153,0.0530656
3.18361,1.9094,-0.30625,1.26375,0.201758,-0.320933,0.0672857,1.24648,0.0523775,0.106049
3.21781,1.9083,-0.316235,1.25376,0.201758,-0.321054,0.0699966,1.27937,0.0525551,0.158956
3.25191,1.90597,-0.326068,1.24393,0.201758,-0.321344,0.0729089,1.31249,0.0527512,0.21179
3.28587,1.90241,-0.335755,1.23424,0.201715,-0.321713,0.0759751,1.34582,0.0529687,0.264555
3.31964,1.89764,-0.345302,1.2247,0.201592,-0.322079,0.0791511,1.37937,0.0532106,0.317255
3.35318,1.89166,-0.354714,1.21529,0.201371,-0.322408,0.0824174,1.41313,0.0534797,0.369891
3.38644,1.88447,-0.363998,1.206,0.201048,-0.322684,0.0857653,1.44707,0.053779,0.422467
3.41939,1.87609,-0.373161,1.19684,0.20062,-0.322902,0.0891908,1.4812,0.0541112,0.474986
3.45197,1.86652,-0.382209,1.18779,0.200088,-0.323059,0.0926918,1.5155,0.0544794,0.52745
3.48414,1.85577,-0.391148,1.17885,0.199454,-0.323152,0.0962669,1.54996,0.0548866,0.579863
3.51586,1.84386,-0.399986,1.17001,0.198719,-0.323182,0.099915,1.58458,0.0553359,0.632227
3.54708,1.8308,-0.40873,1.16127,0.197883,-0.323147,0.103635,1.61933,0.0558304,0.684545
3.57777,1.8166,-0.417385,1.15262,0.19695,-0.323046,0.107427,1.65422,0.0563737,0.736821
3.60788,1.80129,-0.425961,1.14404,0.195921,-0.322876,0.11129,1.68922,0.0569694,0.789058
3.63737,1.78488,-0.434463,1.13554,0.194798,-0.322637,0.115224,1.72433,0.0576212,0.841258
3.6662,1.76739,-0.4429,1.1271,0.193583,-0.322327,0.119229,1.75954,0.0583332,0.893425
3.69433,1.74884,-0.451278,1.11872,0.192278,-0.321944,0.123305,1.79483,0.0591098,0.945563
3.72172,1.72927,-0.459605,1.1104,0.190886,-0.321487,0.127452,1.8302,0.0599559,0.997673
3.74833,1.70869,-0.467889,1.10211,0.189409,-0.320953,0.131672,1.86562,0.0608766,1.04976
3.77414,1.68713,-0.476137,1.09386,0.187848,-0.32034,0.135966,1.90109,0.0618776,1.10183
3.7991,1.66461,-0.484357,1.08564,0.186208,-0.319646,0.140335,1.9366,0.0629651,1.15387
3.82317,1.64117,-0.492556,1.07744,0.184489,-0.318868,0.144782,1.97213,0.064146,1.20591
3.84634,1.61684,-0.500743,1.06926,0.182694,-0.318003,0.14931,2.00767,0.0654279,1.25793
3.86855,1.59165,-0.508925,1.06107,0.180827,-0.317049,0.153922,2.04321,0.0668194,1.30995
3.88979,1.56563,-0.51711,1.05289,0.178888,-0.316001,0.158622,2.07874,0.0683299,1.36196
3.91003,1.53882,-0.525306,1.04469,0.17688,-0.314857,0.163416,2.11423,0.06997,1.41396
3.92923,1.51125,-0.533521,1.03648,0.174806,-0.313611,0.168309,2.14968,0.0717517,1.46597
3.94738,1.48296,-0.541764,1.02824,0.172668,-0.31226,0.17331,2.18508,0.0736885,1.51798
3.96445,1.45398,-0.550044,1.01995,0.170466,-0.310797,0.178427,2.2204,0.0757959,1.57
