base_y_base_x,base_theta_base_y,base_link_base_theta,right_arm_shoulder_pan_joint,right_arm_shoulder_lift_joint,right_arm_elbow_joint,right_arm_wrist_1_joint,right_arm_wrist_2_joint,right_arm_wrist_3_joint,closet_bottom_right_door_joint
0.103956,0.953408,0.396687,1.84723,-0.0777131,-0.976665,0.77764,1.5597,-1.60804,-2.72827e-09
0.0807544,0.927408,0.391282,1.83017,-0.067949,-0.966174,0.791026,1.57931,-1.6037,-0.0439389
0.0585566,0.900667,0.385701,1.81337,-0.0581877,-0.95543,0.804518,1.599,-1.59931,-0.0878732
0.0373892,0.873205,0.379961,1.7968,-0.0484367,-0.944441,0.81811,1.61878,-1.59484,-0.131804
0.0172789,0.845047,0.374083,1.78048,-0.0387037,-0.933211,0.831795,1.63863,-1.59028,-0.175729
-0.00174791,0.816219,0.368086,1.76438,-0.0289965,-0.921748,0.845567,1.65855,-1.5856,-0.219645
-0.0196662,0.786747,0.361992,1.74851,-0.0193221,-0.91006,0.859421,1.67852,-1.58078,-0.263548
-0.0364527,0.75666,0.355819,1.73285,-0.00968675,-0.898151,0.87335,1.69855,-1.5758,-0.307435
-0.0520857,0.725988,0.349588,1.71741,-9.6167e-05,-0.88603,0.887349,1.71862,-1.57064,-0.3513
-0.0665453,0.69476,0.343319,1.70217,0.00944476,-0.873701,0.901412,1.73872,-1.56528,-0.395138
-0.0798136,0.663009,0.337033,1.68713,0.0189319,-0.861172,0.915535,1.75883,-1.55969,-0.438946
-0.0918745,0.630765,0.330747,1.67228,0.0283617,-0.848447,0.929713,1.77893,-1.55387,-0.482717
-0.102714,0.598061,0.324483,1.6576,0.0377317,-0.835534,0.94394,1.79901,-1.54779,-0.526448
-0.11232,0.56493,0.318259,1.6431,0.0470399,-0.822436,0.958213,1.81906,-1.54144,-0.570133
-0.120682,0.531406,0.312095,1.62875,0.0562852,-0.80916,0.972525,1.83905,-1.5348,-0.613767
-0.127792,0.497524,0.306009,1.61456,0.0654669,-0.795711,0.986874,1.85896,-1.52786,-0.657344
-0.133645,0.463316,0.300019,1.60051,0.0745852,-0.782094,1.00125,1.87878,-1.52061,-0.700861
-0.138236,0.428818,0.294144,1.5866,0.0836405,-0.768315,1.01566,1.89849,-1.51303,-0.744312
-0.141564,0.394064,0.288404,1.57281,0.0926335,-0.754379,1.03008,1.91806,-1.50512,-0.787692
-0.14363,0.359084,0.282823,1.55914,0.101563,-0.740293,1.04452,1.93747,-1.49686,-0.830996
-0.14444,0.323906,0.277435,1.54559,0.110425,-0.726067,1.05896,1.9567,-1.48826,-0.874221
-0.144008,0.288539,0.272307,1.53216,0.119202,-0.711722,1.0734,1.97572,-1.47931,-0.91736
-0.142365,0.252966,0.267564,1.51892,0.127853,-0.697291,1.08782,1.99449,-1.47002,-0.960408
-0.139567,0.217114,0.263442,1.50594,0.136296,-0.682843,1.10219,2.01293,-1.46042,-1.00336
-0.135603,0.181056,0.259876,1.49318,0.144564,-0.668359,1.11651,2.03105,-1.45048,-1.04622
-0.130453,0.144885,0.25676,1.48058,0.152706,-0.653814,1.13079,2.04886,-1.44022,-1.08898
-0.12414,0.108605,0.25417,1.46816,0.160701,-0.639231,1.14502,2.06632,-1.42962,-1.13164
-0.116646,0.0723118,0.251992,1.45584,0.168602,-0.62458,1.1592,2.08346,-1.4187,-1.17421
-0.107971,0.0360625,0.250191,1.4436,0.176431,-0.609857,1.17332,2.10027,-1.40746,-1.21668
-0.0981324,-0.000120638,0.2488,1.43144,0.184181,-0.595074,1.18738,2.11673,-1.3959,-1.25905
-0.0871635,-0.0362563,0.247934,1.4194,0.191815,-0.580264,1.20136,2.13282,-1.38405,-1.30132
-0.0750507,-0.0722458,0.247473,1.40741,0.199385,-0.5654,1.21526,2.14855,-1.3719,-1.3435
-0.0618008,-0.108038,0.247391,1.39545,0.206908,-0.55048,1.22907,2.16393,-1.35946,-1.38559
-0.0474306,-0.143605,0.247706,1.38351,0.214383,-0.535513,1.2428,2.17895,-1.34675,-1.42757
-0.0319688,-0.178958,0.24851,1.37164,0.221779,-0.52053,1.25643,2.1936,-1.33379,-1.46947
-0.0154621,-0.214175,0.250022,1.35993,0.22902,-0.505597,1.26993,2.20782,-1.32061,-1.5113
0.00199712,-0.249489,0.252739,1.3486,0.235922,-0.490857,1.28327,2.22151,-1.30728,-1.55309
0.0203702,-0.285001,0.256953,1.33781,0.242391,-0.476422,1.29645,2.2346,-1.29384,-1.59487
0.0397475,-0.320315,0.261985,1.3272,0.248672,-0.462134,1.30953,2.24724,-1.28028,-1.6366
0.0601669,-0.355262,0.267574,1.31668,0.254853,-0.447903,1.32251,2.25949,-1.26655,-1.67826
0.0816736,-0.389701,0.273612,1.30623,0.261059,-0.433712,1.33537,2.27145,-1.25254,-1.71987
